420,The Hichhikers Guide,Cat >.<,11,ultra-violet,sci-fi,SKA,,Lab 3
4,Chicago,,2,pink/green,historical fiction,Rock,Favorite coding language?,Lab 1
4,,Dog,dog,Neon Orange,fantasy adventure,future bass,Do you like anime?,Chess
36,The kings men,,2,purple,,Leait Metal? Idk this one was hard to read,Hurrication 3?,Snakes/Ladders
27,Shrek,,,green,non-fiction,Rock,,
21,Donnie Darko,,2,green,Sci-Fi,Surf rock,white box or black box?,Lab 2
47,Interstellar,Dog,2,blue!,,TAYLOR SWIFT,Favorite animal?,This one!
4,Sonic 2,Dog,who is to say,cyan blue,fantasy adventure,EDM,favorite lego ninjago character?,Aperture Science
8,Unbreakable,,2,,any,I like Everything,Hello?,All of them
13,,,,,,,,
,Avatar,,2,,,,,
13,Rain Man,,2,,,,,
7,Shrek 2,,sish,red,no,Rock/Metal,,Lab 5
,Little Women,,2,blue,Romance/Horror,Rihanna,,snakes/ladders
17,Ferris Buellers Day off,,2,green,,Pop ,,Lab 1
21,Hugo,,2,blue,,,,
44,Whiplash,,2,,,,,
33,NOPE,,,,,,Are you based?,Lab 7
16,Happy death dat,,,pink,non-fiction,Hyperpop,How are you?,Lab 1
4,BraveHeart,,3 -- 1,,Philosophy,Metal,,Lab 09
77,The Adventurs of Tin Tin,,II,black,Philosophy/Fantasy,Hyperpop,,Snakes/Ladders
80085,Django Unchained,,10,,history,country,monkey,Lab 1
29,Batman,,whats a +,,,,,
7,GOTA Vol.1,,6,green,Fantasy,Country,,Lab 6
12,Orphan,,,red,,Anything,can't think of one :/,
10,Back to the future,,,,,,,
7,N/A,,1 --21,,fantasy,EDM,,
9,Everything Everwhere all at once,,,,N/A,,,
6,Hot Rod,,2,,Sci-fi,Indie Rock,,
1337,,,,,,,Are your ring fingers bigger than your index?,
7,The Edge,Dog,2,green,Dystopian,Elevator,Favorite Color?,2nd
4,Avatar,,(+),blue,Non-Fiction,,,Lab 1
4,The Hitmans bodyguard,,,green,,,,
3,,,2?,blue,,,,
49,Toy Story,,a2 + b2 = c2,blue,none,Rock(Punk),,
22,Marvel Movies,,2,,Any,Acoustic,favorite animal?,
13,The Greatest Showman,,2,seafoam green,fantasy adventure,Alt rock! A mix really,favorite flower?,I don't rememberâ€¦ 3rd?
17,Inception,,2,,Sci-Fi,,favorite book?,
8,Star war IV,Both,11,,crime/linux man page,good music,vim or emacs?,Lab 6
7,Tinker Taylor Solder Spy,,8,purple,sci-fi,BEYONCE,up or down?,lab 0
7,Pulp Fiction,,,,,,,
100,COAS,,#,white,Idk,Reggaeton,,Lab 9
69,Nobody,,(5 -- 3),purple,,,,
4,Interstellar,,,,,,,
14,Miracle,,2,blue,Fantasy,Anything,How are you?,Snakes/Ladders
7,Howls Moving Castle,Cat,:),sage green,Horror,Classic Rock,favorite food?,Lab 1
16,Tron Legacy,,2,,Fantasy,Synth,favorite fruit?,Lab 2
7,Blade Runner 2049,,,red,Non-fiction,,,Lab 4
9,Interstellar,,II,,sci-fi,All,,Lab 1 
13,Pacific Rim,,2,blue,Sci-fi,Country,favorite movie?,Snakes /Ladders
4,,,,,,,Do you support Allah?,
23,Avatar ,,,,,,,
,Morrowbone,,2,blue!,Mystery,pop rock,favorite show?,snakes & Ladders 
421,,,,,,,,
13,Goodfellas,,,,non-fiction,not sure what this reads Im sorry,,Lab 7 
1000,The Lego Movie,Dog,2,,,,,
24,Green Mile,Dog,2,,Sci-fi,Rap,favorite car?,Lab 3
2,None,,2,Red,Sci-Fi,Yes,yes?,Yes Lab
69,,Cat,,,Dystopian,,,
3,Incredibles,,2,,Manga,Reggae,why am I fat?,Lab 2 
23,Shrek,,2,green,Sci-Fi,House,favorite color?,Lab 9
25,,,2,,,,,
15,Moving Castle Gibbli,,15,,,,,Lab 1
13,Interstellar or Avatar(Blue),,,,call of the wild,EDM/HardRock/Screemo,,None
42,,,?,black,,,,
88,LOTR trilogy,,|+|,blue,Fantasy,Country,How are you doing?,
27,Happy Gilmore,,,aqua,Sci-Fi,Alternative,do you like red pandas?,Lab 8 
15,Shrek,,2,green,Fantasy,Country,favorite color?,lab 1
7,The Martian,Dog,2,green,History/non-fiction,Jazz,Where are you from?,The first one
30,Cars,Dog,2,purple,Mystery/Crime,,favorite movie?,Lab 1
5,,,,,,,,
11,Interstellar,,2,red,Dystopian,Country,,First Snakes/Ladders
3,Tangled,,2,,,,,
7,Spiderman No way home,,,,Adventure,,,
14,Wall-E,,e=mc2,caca ,Magic Treehouse,merengue,How do you change the regions of triple integrals?,Lab 1: Goated
19,,,2,red,Dystopian,RnB,How do I do the lab?,lab 1 
25,,,tu,burple,dragons,,,
7,Star wars the emipre strikes back,Dog ofc,10,,Fantasy,Punk Rock or Rap,favorite subject?,First
14,Interstellar,,2,pink,fantasy,Jazz or Rock ,,UML Lab
42,Avengers:Endgame,,,purple,Dragons!,Alt Rock,name of your hobbies?,Lab 42
,T-34,,yes,,non-fiction,,,*deafening silence*
343,Donnie Darko,,,,History,Metal,favorite food?,Lab 6